NAME,Site_Name,distance_to_site_miles
LONGFELLOW ELEMENTARY,Fruit Avenue Plume,0.04573758284697423
Insight School of WA Open Doors Program,"Commencement Bay, South Tacoma Channel",0.05080917625617846
Basin School,Basin Mining Area,0.059318622512047364
Van Cleve Elementary School,East Troy Contaminated Aquifer,0.06630252679627542
North Belmont Elementary,North Belmont PCE,0.06818298877802474
INES MARIA MENDOZA DE MUNOZ MARIN CABO ROJO,Cabo Rojo Ground Water Contamination,0.06967924756949663
Ravenswood High School,Ravenswood PCE Ground Water Plume,0.07312822885411048
Cove Day School,Lukachukai Mountains Mining District,0.07857227972065432
TAGOS Leadership Acad,Janesville Ash Beds,0.09198369577777679
Paden City High School,Paden City Groundwater,0.09531028079085804
Freeman High School,Grain Handling Facility at Freeman,0.09975619797081882
North Ward Elementary School,Rockwell International Corp. (Allegan Plant),0.10173565965621487
West Chicago Comm High School,Kerr-McGee (Residential Areas),0.10408155708233312
ABQ CHARTER ACADEMY,Fruit Avenue Plume,0.10798048462911251
Thomas Jefferson School #9,"Curcio Scrap Metal, Inc.",0.11245495696993343
Ravenswood Middle School,Ravenswood PCE Ground Water Plume,0.11788102990865858
JUDITH A. VIVAS,"Papelera Puertorriquena, Inc.",0.11933490086512191
Freeman Elementary School,Grain Handling Facility at Freeman,0.12556927666759984
Freeman Middle School,Grain Handling Facility at Freeman,0.12556927666759984
LOLA RODRIGUEZ DE TIO,San German Ground Water Contamination,0.12862301591785813
HOMEBOUND,Bandera Road Ground Water Plume,0.1324634762572362
SCHOOL AGED PARENTING PROGRAM,Bandera Road Ground Water Plume,0.1324634762572362
Jacques Memorial Elementary School,Fletcher's Paint Works & Storage,0.13467201207692917
WOODMERE MIDDLE SCHOOL,Peninsula Boulevard Ground Water Plume,0.136149460675871
Wallace Stegner Academy,Portland Cement (Kiln Dust 2 & 3),0.13706602029425227
HILLSBOROUGH GIRLS ACADEMY,Peak Oil Co./Bay Drum Co.,0.1394580179865982
Butler High School,Peach Orchard Road PCE Ground Water Plume,0.1396708654938087
JAMES FANNIN MIDDLE,Delfasco Forge,0.14117404360192726
Cleveland Street Elementary School,Orange Valley Regional Ground Water Contamination,0.1446728728504231
Muskegon Montessori Academy for Environmental Change,Kaydon Corp.,0.14758391996040185
MONTGOMERY CO J J A E P,United Creosoting Co.,0.15494396091289023
PROJECT RESTORE,United Creosoting Co.,0.15494396091289023
Delair Elementary School,Puchack Well Field,0.1562560596155824
Chamberlain Elementary School,North 5th Street Groundwater Contamination,0.15673706484084277
Cleveland Street Elementary School,U.S. Radium Corp.,0.16227093481088412
AURORA MIDDLE SCHOOL,South Minneapolis Residential Soil Contamination,0.16254235997016725
AURORA CHARTER SCHOOL,South Minneapolis Residential Soil Contamination,0.16254235997016725
STEWART SCHOOL,Old Roosevelt Field Contaminated Ground Water Area,0.17557708241978812
BELLEVUE MISSION MIDDLE SCHOOL,PCE - Carriage Cleaners,0.17580701037120267
Bob Holcomb Elementary,Newmark Ground Water Contamination,0.17755549703380805
Atwater Avenue Elementary,San Fernando Valley (Area 4),0.18064649186528967
Great River Elementary School,Koppers Coke,0.18295463105170096
GREAT RIVER SCHOOL,Koppers Coke,0.18295463105170096
RANDALL MIDDLE SCHOOL,Rosen Brothers Scrap Yard/Dump,0.1850947148714639
LINDSAY ATTENDANCE CENTER,Lindsay Manufacturing Co.,0.1857195760026175
Gibbsboro Elementary School,Sherwin-Williams/Hilliards Creek,0.18787039381289272
NEW DAWN CHARTER HIGH SCHOOL,Gowanus Canal,0.18873616788637845
Trinity School,Kerr-McGee (Residential Areas),0.18976575746954366
JJAEP,United Creosoting Co.,0.19379095409167174
Lynnewood El Sch,Havertown PCP,0.19480431503492046
Elwood Haynes Elementary School,Kokomo Contaminated Ground Water Plume,0.1952543463685767
LOGAN-ROGERSVILLE PRIMARY,Compass Plaza Well TCE,0.20362225626992542
Roosevelt School #7,Garfield Ground Water Contamination,0.20438176647128628
West Essex High School,Caldwell Trucking Co.,0.20439892834250223
LANDING SCHOOL,"Mattiace Petrochemical Co., Inc.",0.2066060685744312
Woodcrest Elementary,Orange County North Basin,0.20758757657744026
Iola Elementary School,Former United Zinc & Associated Smelters,0.21165464337047757
HIGHLANDS ELEMENTARY SCHOOL,General Dynamics Longwood,0.21463577318744725
Joseph Gomez Elementary School,Tutu Wellfield,0.21588181824186223
CORTLAND JUNIOR HIGH SCHOOL,Rosen Brothers Scrap Yard/Dump,0.21939327566660333
CORTLAND HIGH SCHOOL,Rosen Brothers Scrap Yard/Dump,0.21939327566660333
Orange Early Childhood Center,U.S. Radium Corp.,0.21987859627686004
Southwest Tech,"Jard Company, Inc.",0.22088695015259333
Catawba Heights Elementary,Jadco-Hughes Facility,0.22253400865890174
Lincoln Memorial Elem,Caney Residential Yards,0.22334765271107812
Blades Elementary School,Blades Groundwater,0.2253543818912723
Bountiful School,Five Points PCE Plume,0.22780687810777775
Roberto Clemente International Dual Language School,Scovill Industrial Landfill,0.22852509248306072
Kiser Elementary School,Behr Dayton Thermal System VOC Plume,0.23032894268574672
Beverly City School District,Cosden Chemical Coatings Corp.,0.2356563416577301
PS 32 SAMUEL MILLS SPROLE,Gowanus Canal,0.23619204791752108
Mt. Anthony Senior Union High School,"Jard Company, Inc.",0.23679852688373235
WASHINGTON AVE ELEMENTARY,Lea and West Second Street,0.238800374620943
GEORGE PEABODY EL,RSR Corp.,0.2404402704741197
FRANKLIN EARLY CHILDHOOD CENTER,Peninsula Boulevard Ground Water Plume,0.24529989695998164
Walpole High,Blackburn and Union Privileges,0.2458116605512315
NORPHLET MIDDLE SCHOOL,MacMillan Ring Free Oil,0.24724946156061495
Orange Early Childhood Center,Orange Valley Regional Ground Water Contamination,0.24785941054426708
LAKE ACADEMY SECURE,Peak Oil Co./Bay Drum Co.,0.2499251395960695
LAKE ACADEMY,Peak Oil Co./Bay Drum Co.,0.2499251395960695
Westmoreland Elementary School,Fair Lawn Well Field,0.2511570852035607
Keystone El Sch,Croydon TCE,0.2515448151139013
Forest Elementary School,East Troy Contaminated Aquifer,0.25202217889503703
Community Middle School,Brook Industrial Park,0.2530474483087639
Windemere Park Charter Academy,Adam's Plating,0.25335147080668524
Great Valley MS,Malvern TCE,0.25464308405915514
PS/IS 384 FRANCES E CARTER,Wolff-Alport Chemical Company,0.2561924982402792
THENA CROWDER EARLY CHILDHOOD DIAGNOSTIC SPECIAL EDUCATION,Continental Cleaners,0.2563962590458752
Clark Elementary School,Highway 3 PCE,0.2570606371466467
JESUS T. PINERO CIDRA,Cidra Ground Water Contamination,0.25747663641635454
Jefferson Elementary,"N.W. Mauthe Co., Inc.",0.2578255133069876
Stebbins High School,Valley Pike VOCs,0.258053280582182
Darlene C. McKnight Elementary,Historic Potteries,0.2581723615796893
John A. Forrest Elementary School,Fair Lawn Well Field,0.259162603090238
