NAME,Site_Name,distance_to_site_miles,ZIP,STATE,CITY,CNTY,LAT,LON
LONGFELLOW ELEMENTARY,Fruit Avenue Plume,0.04573758284697423,87102,NM,ALBUQUERQUE,35001,35.08606,-106.641272
Insight School of WA Open Doors Program,"Commencement Bay, South Tacoma Channel",0.05080917625617846,98409,WA,Tacoma,53053,47.2287,-122.471361
Basin School,Basin Mining Area,0.059318622512047364,59631,MT,Basin,30043,46.272891,-112.264558
Van Cleve Elementary School,East Troy Contaminated Aquifer,0.06630252679627542,45373,OH,Troy,39109,40.037287,-84.196757
North Belmont Elementary,North Belmont PCE,0.06818298877802474,28012,NC,Belmont,37071,35.2727,-81.0505
INES MARIA MENDOZA DE MUNOZ MARIN CABO ROJO,Cabo Rojo Ground Water Contamination,0.06967924756949663,623,PR,CABO ROJO,72023,18.090111,-67.147497
Ravenswood High School,Ravenswood PCE Ground Water Plume,0.07312822885411048,26164,WV,Ravenswood,54035,38.952091,-81.760413
Cove Day School,Lukachukai Mountains Mining District,0.07857227972065432,86544,AZ,Red Valley,4001,36.558631,-109.219096
TAGOS Leadership Acad,Janesville Ash Beds,0.09198369577777679,53545,WI,Janesville,55105,42.702183,-89.028861
Paden City High School,Paden City Groundwater,0.09531028079085804,26159,WV,Paden City,54103,39.605674,-80.931943
Freeman High School,Grain Handling Facility at Freeman,0.09975619797081882,99030,WA,Rockford,53063,47.5197,-117.1964
North Ward Elementary School,Rockwell International Corp. (Allegan Plant),0.10173565965621487,49010,MI,ALLEGAN,26005,42.5362,-85.8481
West Chicago Comm High School,Kerr-McGee (Residential Areas),0.10408155708233312,60185,IL,West Chicago,17043,41.87936,-88.206021
ABQ CHARTER ACADEMY,Fruit Avenue Plume,0.10798048462911251,87102,NM,ALBUQUERQUE,35001,35.086232,-106.642515
Thomas Jefferson School #9,"Curcio Scrap Metal, Inc.",0.11245495696993343,7026,NJ,Garfield,34003,40.889743,-74.105245
Ravenswood Middle School,Ravenswood PCE Ground Water Plume,0.11788102990865858,26164,WV,Ravenswood,54035,38.952393,-81.759671
JUDITH A. VIVAS,"Papelera Puertorriquena, Inc.",0.11933490086512191,641,PR,UTUADO,72141,18.266863,-66.695568
Freeman Middle School,Grain Handling Facility at Freeman,0.12556927666759984,99030,WA,Rockford,53063,47.5177,-117.1944
Freeman Elementary School,Grain Handling Facility at Freeman,0.12556927666759984,99030,WA,Rockford,53063,47.5177,-117.1944
LOLA RODRIGUEZ DE TIO,San German Ground Water Contamination,0.12862301591785813,683,PR,SAN GERMAN,72125,18.082586,-67.035763
SCHOOL AGED PARENTING PROGRAM,Bandera Road Ground Water Plume,0.1324634762572362,78238,TX,SAN ANTONIO,48029,29.493921,-98.618381
HOMEBOUND,Bandera Road Ground Water Plume,0.1324634762572362,78238,TX,SAN ANTONIO,48029,29.493921,-98.618381
Jacques Memorial Elementary School,Fletcher's Paint Works & Storage,0.13467201207692917,3055,NH,Milford,33011,42.836264,-71.652811
WOODMERE MIDDLE SCHOOL,Peninsula Boulevard Ground Water Plume,0.136149460675871,11557,NY,HEWLETT,36059,40.6431,-73.709
Wallace Stegner Academy,Portland Cement (Kiln Dust 2 & 3),0.13706602029425227,84104,UT,SALT LAKE CITY,49035,40.747888,-111.946152
HILLSBOROUGH GIRLS ACADEMY,Peak Oil Co./Bay Drum Co.,0.1394580179865982,33619,FL,TAMPA,12057,27.968796,-82.34078
Butler High School,Peach Orchard Road PCE Ground Water Plume,0.1396708654938087,30906,GA,Augusta,13245,33.419534,-82.016543
JAMES FANNIN MIDDLE,Delfasco Forge,0.14117404360192726,75050,TX,GRAND PRAIRIE,48113,32.751947,-96.96461
Cleveland Street Elementary School,Orange Valley Regional Ground Water Contamination,0.1446728728504231,7050,NJ,ORANGE,34013,40.782,-74.2256
Muskegon Montessori Academy for Environmental Change,Kaydon Corp.,0.14758391996040185,49441,MI,NORTON SHORES,26121,43.199061,-86.292672
MONTGOMERY CO J J A E P,United Creosoting Co.,0.15494396091289023,77301,TX,CONROE,48339,30.333746,-95.455682
PROJECT RESTORE,United Creosoting Co.,0.15494396091289023,77301,TX,CONROE,48339,30.333746,-95.455682
Delair Elementary School,Puchack Well Field,0.1562560596155824,8110,NJ,DELAIR,34007,39.9753,-75.0543
Chamberlain Elementary School,North 5th Street Groundwater Contamination,0.15673706484084277,46528,IN,Goshen,18039,41.5925,-85.8326
Cleveland Street Elementary School,U.S. Radium Corp.,0.16227093481088412,7050,NJ,ORANGE,34013,40.782,-74.2256
AURORA CHARTER SCHOOL,South Minneapolis Residential Soil Contamination,0.16254235997016725,55404,MN,MINNEAPOLIS,27053,44.95484,-93.241051
AURORA MIDDLE SCHOOL,South Minneapolis Residential Soil Contamination,0.16254235997016725,55404,MN,MINNEAPOLIS,27053,44.95484,-93.241051
STEWART SCHOOL,Old Roosevelt Field Contaminated Ground Water Area,0.17557708241978812,11530,NY,GARDEN CITY,36059,40.7311,-73.6188
BELLEVUE MISSION MIDDLE SCHOOL,PCE - Carriage Cleaners,0.17580701037120267,68005,NE,BELLEVUE,31153,41.137185,-95.897402
Bob Holcomb Elementary,Newmark Ground Water Contamination,0.17755549703380805,92407,CA,San Bernardino,6071,34.1715,-117.3162
Atwater Avenue Elementary,San Fernando Valley (Area 4),0.18064649186528967,90039,CA,Los Angeles,6037,34.114677,-118.254097
Great River Elementary School,Koppers Coke,0.18295463105170096,55108,MN,SAINT PAUL,27123,44.970377,-93.155464
GREAT RIVER SCHOOL,Koppers Coke,0.18295463105170096,55108,MN,SAINT PAUL,27123,44.970377,-93.155464
RANDALL MIDDLE SCHOOL,Rosen Brothers Scrap Yard/Dump,0.1850947148714639,13045,NY,CORTLAND,36023,42.5943,-76.1747
LINDSAY ATTENDANCE CENTER,Lindsay Manufacturing Co.,0.1857195760026175,68644,NE,LINDSAY,31141,41.702527,-97.693426
Gibbsboro Elementary School,Sherwin-Williams/Hilliards Creek,0.18787039381289272,8026,NJ,GIBBSBORO,34007,39.837241,-74.967729
NEW DAWN CHARTER HIGH SCHOOL,Gowanus Canal,0.18873616788637845,11217,NY,BROOKLYN,36047,40.683036,-73.990439
Trinity School,Kerr-McGee (Residential Areas),0.18976575746954366,60185,IL,West Chicago,17043,41.879407,-88.210907
JJAEP,United Creosoting Co.,0.19379095409167174,77301,TX,CONROE,48339,30.33412,-95.455083
Lynnewood El Sch,Havertown PCP,0.19480431503492046,19083,PA,Havertown,42045,39.982692,-75.322313
Elwood Haynes Elementary School,Kokomo Contaminated Ground Water Plume,0.1952543463685767,46901,IN,Kokomo,18067,40.4777,-86.1112
LOGAN-ROGERSVILLE PRIMARY,Compass Plaza Well TCE,0.20362225626992542,65742,MO,ROGERSVILLE,29077,37.109788,-93.07958
Roosevelt School #7,Garfield Ground Water Contamination,0.20438176647128628,7026,NJ,GARFIELD,34003,40.873683,-74.103348
West Essex High School,Caldwell Trucking Co.,0.20439892834250223,7006,NJ,NORTH CALDWELL,34013,40.873815,-74.269493
LANDING SCHOOL,"Mattiace Petrochemical Co., Inc.",0.2066060685744312,11542,NY,GLEN COVE,36059,40.863433,-73.645038
Woodcrest Elementary,Orange County North Basin,0.20758757657744026,92832,CA,Fullerton,6059,33.8577,-117.9316
Iola Elementary School,Former United Zinc & Associated Smelters,0.21165464337047757,66749,KS,Iola,20001,37.924433,-95.388661
HIGHLANDS ELEMENTARY SCHOOL,General Dynamics Longwood,0.21463577318744725,32708,FL,WINTER SPRINGS,12117,28.716543,-81.317692
Joseph Gomez Elementary School,Tutu Wellfield,0.21588181824186223,802,VI,Saint Thomas,78030,18.342789,-64.887972
CORTLAND JUNIOR HIGH SCHOOL,Rosen Brothers Scrap Yard/Dump,0.21939327566660333,13045,NY,CORTLAND,36023,42.588555,-76.174555
CORTLAND HIGH SCHOOL,Rosen Brothers Scrap Yard/Dump,0.21939327566660333,13045,NY,CORTLAND,36023,42.588555,-76.174555
Orange Early Childhood Center,U.S. Radium Corp.,0.21987859627686004,7050,NJ,Orange,34013,40.7783,-74.2295
Southwest Tech,"Jard Company, Inc.",0.22088695015259333,5201,VT,Bennington,50003,42.886582,-73.192165
Catawba Heights Elementary,Jadco-Hughes Facility,0.22253400865890174,28012,NC,Belmont,37071,35.2745,-81.0375
Lincoln Memorial Elem,Caney Residential Yards,0.22334765271107812,67333,KS,Caney,20125,37.0154,-95.932
